village_code_2011,village_name_2011,state_code_2011,district_code_2011,sub_district_code_2011,village_code_2001,village_name_2001,state_code_2001,district_code_2001,sub_district_code_2001,CEN2001_ID
627189,Thirumeni,32,589,5632,12600,Thirumeni,32,2,1,3202000100012600
627190,Alakode,32,589,5632,12700,Alakode,32,2,1,3202000100012700
627191,Vellad,32,589,5632,12800,Vellad,32,2,1,3202000100012800
627192,NewNaduvil,32,589,5632,12900,NewNaduvil,32,2,1,3202000100012900
627193,Kooveri,32,589,5632,13000,Kooveri,32,2,1,3202000100013000
627194,Panniyoor,32,589,5632,13100,Panniyoor,32,2,1,3202000100013100
627195,Kuttiyeri,32,589,5632,13200,Kuttiyeri,32,2,1,3202000100013200
627196,Pattuvam,32,589,5632,13400,Pattuvam,32,2,1,3202000100013400
627197,Chuzhali,32,589,5632,13600,Chuzhali,32,2,1,3202000100013600
627198,Nediyanga,32,589,5632,13700,Nediyanga,32,2,1,3202000100013700
627199,Eruvassy,32,589,5632,13800,Eruvassy,32,2,1,3202000100013800
627200,Payyavoor,32,589,5632,13900,Payyavoor,32,2,1,3202000100013900
627201,Nuchiyad,32,589,5632,14000,Nuchiyad,32,2,1,3202000100014000
627202,Vayathur,32,589,5632,14100,Vayathur,32,2,1,3202000100014100
627203,Padiyoor,32,589,5632,14200,Padiyoor,32,2,1,3202000100014200
627204,Kalliad,32,589,5632,14300,Kalliad,32,2,1,3202000100014300
627205,Sreekandapuram,32,589,5632,14500,Sreekandapuram,32,2,1,3202000100014500
627206,Malapattam,32,589,5632,14600,Malapattam,32,2,1,3202000100014600
627207,Chengalai,32,589,5632,14700,Chengalai,32,2,1,3202000100014700
627208,Kayaralam,32,589,5632,14800,Kayaralam,32,2,1,3202000100014800
627209,Karivellur(CT),32,589,5632,11400,Karivellur,32,2,1,3202000100011400
627210,Pariyaram(CT),32,589,5632,13300,Pariyaram,32,2,1,3202000100013300
627211,Kurumathur(CT),32,589,5632,13500,Kurumathur,32,2,1,3202000100013500
627212,Irikkur(CT),32,589,5632,14400,Irikkur,32,2,1,3202000100014400
627213,Kuttiattoor(CT),32,589,5632,15100,Kuttiattoor,32,2,1,3202000100015100
627214,Mayyil(CT),32,589,5632,15000,Mayyil,32,2,1,3202000100015000
627215,Kolacherry(CT),32,589,5632,14900,Kolacherry,32,2,1,3202000100014900
627216,Cheleri(CT),32,589,5632,15300,Cheleri,32,2,1,3202000100015300
627217,Maniyoor(CT),32,589,5632,15200,Maniyoor,32,2,1,3202000100015200
627218,Panapuzha,32,589,5633,15400,Panapuzha,32,2,2,3202000200015400
627219,Mattool,32,589,5633,16000,Mattool,32,2,2,3202000200016000
627220,Kunhimangalam(CT),32,589,5633,15600,Kunhimangalam,32,2,2,3202000200015600
627221,Cheruthazham(CT),32,589,5633,40203000,Cheruthazham(CT),32,2,2,3202000240203000
627222,Kadannappalli(CT),32,589,5633,15500,Kadannappalli,32,2,2,3202000200015500
627223,Ezhome(CT),32,589,5633,15800,Ezhome,32,2,2,3202000200015800
627224,Madayi(CT),32,589,5633,15700,Madayi,32,2,2,3202000200015700
627225,Cherukunnu(CT),32,589,5633,15900,Cherukunnu,32,2,2,3202000200015900
627226,Kannapuram(CT),32,589,5633,40204000,Kannapuram(CT),32,2,2,3202000240204000
627227,Narath(CT),32,589,5633,40211000,Narath(CT),32,2,2,3202000240211000
627228,Pappinisseri(CT),32,589,5633,40206000,Pappinisseri(CT),32,2,2,3202000240206000
627229,Kalliasseri(CT),32,589,5633,40205000,Kalliasseri(CT),32,2,2,3202000240205000
627230,AzhikodeNorth(CT),32,589,5633,40207000,AzhikodeNorth(CT),32,2,2,3202000240207000
627231,AzhikodeSouth(CT),32,589,5633,40208000,AzhikodeSouth(CT),32,2,2,3202000240208000
627232,Valapattanam(CT),32,589,5633,40209000,Valapattanam(CT),32,2,2,3202000240209000
627233,Chirakkal(CT),32,589,5633,40210000,Chirakkal(CT),32,2,2,3202000240210000
627234,Kannadiparamba(CT),32,589,5633,40212000,Kannadiparamba(CT),32,2,2,3202000240212000
627235,Munderi(CT),32,589,5633,40219000,Munderi(CT),32,2,2,3202000240219000
627236,Kanhirode(CT),32,589,5633,40220000,Kanhirode(CT),32,2,2,3202000240220000
627237,Varam(CT),32,589,5633,40218000,Varam(CT),32,2,2,3202000240218000
627238,Puzhathi(CT),32,589,5633,40213000,Puzhathi(CT),32,2,2,3202000240213000
627239,Pallikkunnu(CT),32,589,5633,40214000,Pallikkunnu(CT),32,2,2,3202000240214000
627240,Elayavoor(CT),32,589,5633,40217000,Elayavoor(CT),32,2,2,3202000240217000
627241,Chelora(CT),32,589,5633,40221000,Chelora(CT),32,2,2,3202000240221000
627242,Ancharakandy(CT),32,589,5633,40225000,Ancharakandy(CT),32,2,2,3202000240225000
627243,Iriveri(CT),32,589,5633,40224000,Iriveri(CT),32,2,2,3202000240224000
627244,Chala(CT),32,589,5633,40223000,Chala(CT),32,2,2,3202000240223000
627245,Thottada(CT),32,589,5633,40222000,Thottada(CT),32,2,2,3202000240222000
627246,Kadachira(CT),32,589,5633,40228000,Kadachira(CT),32,2,2,3202000240228000
627247,Mavilayi(CT),32,589,5633,40227000,Mavilayi(CT),32,2,2,3202000240227000
627248,Peralassery(CT),32,589,5633,40226000,Peralasseri(CT),32,2,2,3202000240226000
627249,Muzhappilangad(CT),32,589,5633,40229000,Muzhappilangad(CT),32,2,2,3202000240229000
627250,Pattannur,32,589,5634,16100,Pattannur,32,2,3,3202000300016100
627251,Chavassery,32,589,5634,16400,Chavassery,32,2,3,3202000300016400
627252,Keezhur,32,589,5634,16500,Keezhur,32,2,3,3202000300016500
627253,Payam,32,589,5634,16600,Payam,32,2,3,3202000300016600
627254,Vilamana,32,589,5634,16700,Vilamana,32,2,3,3202000300016700
627255,Ayyankunnu,32,589,5634,16800,Ayyankunnu,32,2,3,3202000300016800
627256,Aralam,32,589,5634,16900,Aralam,32,2,3,3202000300016900
627257,Kottiyoor,32,589,5634,17000,Kottiyoor,32,2,3,3202000300017000
627258,Kelakam,32,589,5634,17100,Kelakam,32,2,3,3202000300017100
627259,Kanichar,32,589,5634,17200,Kanichar,32,2,3,3202000300017200
627260,Manathana,32,589,5634,17300,Manathana,32,2,3,3202000300017300
627261,Muzhakkunnu,32,589,5634,17400,Muzhakkunnu,32,2,3,3202000300017400
627262,Thillenkeri,32,589,5634,17500,Thillenkeri,32,2,3,3202000300017500
627263,Tholambra,32,589,5634,17600,Tholambra,32,2,3,3202000300017600
627264,Vellarvelly,32,589,5634,17700,Vellarvelly,32,2,3,3202000300017700
627265,Vekkalam,32,589,5634,17800,Vekkalam,32,2,3,3202000300017800
627266,Koloyad,32,589,5634,17900,Koloyad,32,2,3,3202000300017900
627267,Kannavam,32,589,5634,18000,Kannavam,32,2,3,3202000300018000
627268,Sivapuram,32,589,5634,18100,Sivapuram,32,2,3,3202000300018100
627269,Cheruvanchery,32,589,5634,18700,Cheruvanchery,32,2,3,3202000300018700
627270,Puthoor,32,589,5634,18800,Puthoor,32,2,3,3202000300018800
627271,Thrippangottur,32,589,5634,19000,Thrippangottur,32,2,3,3202000300019000
627272,Koodali(CT),32,589,5634,16200,Koodali,32,2,3,3202000300016200
627273,Keezhallur(CT),32,589,5634,16300,Keezhallur,32,2,3,3202000300016300
627274,Paduvilayi(CT),32,589,5634,40231000,Paduvilayi(CT),32,2,3,3202000340231000
627275,Pathiriyad(CT),32,589,5634,40232000,Pathiriyad(CT),32,2,3,3202000340232000
627276,Mangattidam(CT),32,589,5634,18200,Mangattidam,32,2,3,3202000300018200
627277,Kandamkunnu(CT),32,589,5634,18400,Kandamkunnu,32,2,3,3202000300018400
627278,Manantheri(CT),32,589,5634,18500,Manantheri,32,2,3,3202000300018500
627279,Kottayam-Malabar(CT),32,589,5634,40234000,Kottayam-Malabar(CT),32,2,3,3202000340234000
627280,Eruvatti(CT),32,589,5634,18300,Eruvatti,32,2,3,3202000300018300
627281,Pinarayi(CT),32,589,5634,40233000,Pinarayi(CT),32,2,3,3202000340233000
627282,Dharmadom(CT),32,589,5634,40239000,Dharmadom(CT),32,2,3,3202000340239000
627283,Eranholi(CT),32,589,5634,40238000,Eranholi(CT),32,2,3,3202000340238000
627284,Kadirur(CT),32,589,5634,40237000,Kadirur(CT),32,2,3,3202000340237000
627285,Pattiom(CT),32,589,5634,40236000,Pattiom(CT),32,2,3,3202000340236000
627286,Mokeri(CT),32,589,5634,18600,Mokeri,32,2,3,3202000300018600
627287,Kolavelloor(CT),32,589,5634,18900,Kolavelloor,32,2,3,3202000300018900
627288,Panoor(CT),32,589,5634,40244000,Panoor(CT),32,2,3,3202000340244000
627289,Panniyannur(CT),32,589,5634,40243000,Panniyannur(CT),32,2,3,3202000340243000
627290,NewMahe(CT),32,589,5634,40241000,NewMahe(CT),32,2,3,3202000340241000
627291,Chockli(CT),32,589,5634,40242000,Chockli(CT),32,2,3,3202000340242000
627292,Peringathur(CT),32,589,5634,40245000,Peringathur(CT),32,2,3,3202000340245000
627293,Thirunelly,32,590,5635,19100,Thirunelly,32,3,1,3203000100019100
627294,Thrissilery,32,590,5635,19200,Thrissilery,32,3,1,3203000100019200
627295,Payyampally,32,590,5635,19300,Payyampally,32,3,1,3203000100019300
627296,Mananthavady,32,590,5635,19400,Mananthavady,32,3,1,3203000100019400
627297,Thavinhal,32,590,5635,19500,Thavinhal,32,3,1,3203000100019500
627298,Periya,32,590,5635,19600,Periya,32,3,1,3203000100019600
627299,Thondernad,32,590,5635,19700,Thondernad,32,3,1,3203000100019700
627300,Valat,32,590,5635,19800,Valat,32,3,1,3203000100019800
627301,Edavaka,32,590,5635,19900,Edavaka,32,3,1,3203000100019900
627302,Nalloornad,32,590,5635,20000,Nalloornad,32,3,1,3203000100020000
627303,Cherukottur,32,590,5635,20100,Cherukottur,32,3,1,3203000100020100
627304,Panamaram,32,590,5635,20200,Panamaram,32,3,1,3203000100020200
627305,Anchukunnu,32,590,5635,20300,Anchukunnu,32,3,1,3203000100020300
627306,Porunnanore,32,590,5635,20400,Porunnanore,32,3,1,3203000100020400
627307,Vellamunda,32,590,5635,20500,Vellamunda,32,3,1,3203000100020500
627308,Kanjirangad,32,590,5635,20600,Kanjirangad,32,3,1,3203000100020600
627309,Nadavayal,32,590,5636,20700,Nadavayal,32,3,2,3203000200020700
627310,Poothadi,32,590,5636,20800,Poothadi,32,3,2,3203000200020800
627311,Pulpalli,32,590,5636,20900,Pulpalli,32,3,2,3203000200020900
627312,Padichira,32,590,5636,21000,Padichira,32,3,2,3203000200021000
627313,Kidanganad,32,590,5636,21100,Kidanganad,32,3,2,3203000200021100
627314,Irulam,32,590,5636,21200,Irulam,32,3,2,3203000200021200
627315,Purakkadi,32,590,5636,21300,Purakkadi,32,3,2,3203000200021300
627316,Krishnagiri,32,590,5636,21400,Krishnagiri,32,3,2,3203000200021400
627317,Sulthanbathery,32,590,5636,21500,Sulthanbathery,32,3,2,3203000200021500
627318,Kuppadi,32,590,5636,21600,Kuppadi,32,3,2,3203000200021600
627319,Noolpuzha,32,590,5636,21700,Noolpuzha,32,3,2,3203000200021700
627320,Cheeral,32,590,5636,21800,Cheeral,32,3,2,3203000200021800
627321,Nenmeni,32,590,5636,21900,Nenmeni,32,3,2,3203000200021900
627322,Ambalavayal,32,590,5636,22000,Ambalavayal,32,3,2,3203000200022000
627323,Thomattuchal,32,590,5636,22100,Thomattuchal,32,3,2,3203000200022100
627324,Padinharethara,32,590,5637,22200,Padinharethara,32,3,3,3203000300022200
627325,Kuppadithara,32,590,5637,22300,Kuppadithara,32,3,3,3203000300022300
627326,Kottathara,32,590,5637,22400,Kottathara,32,3,3,3203000300022400
627327,Kaniambetta,32,590,5637,22500,Kaniambetta,32,3,3,3203000300022500
627328,MuttilNorth,32,590,5637,22600,MuttilNorth,32,3,3,3203000300022600
627329,MuttilSouth,32,590,5637,22700,MuttilSouth,32,3,3,3203000300022700
627330,Vengappally,32,590,5637,22800,Vengappally,32,3,3,3203000300022800
627331,Kavumannam,32,590,5637,22900,Kavumannam,32,3,3,3203000300022900
627332,Thariyode,32,590,5637,23000,Thariyode,32,3,3,3203000300023000
627333,Achooranam,32,590,5637,23100,Achooranam,32,3,3,3203000300023100
627334,Pozhuthana,32,590,5637,23200,Pozhuthana,32,3,3,3203000300023200
627335,Kunnathidavaka,32,590,5637,23300,Kunnathidavaka,32,3,3,3203000300023300
627336,Chundale,32,590,5637,23400,Chundale,32,3,3,3203000300023400
627337,Kottappadi(Part),32,590,5637,23500,Kottappadi(Part),32,3,3,3203000300023500
627338,Thrikkaipatta(Part),32,590,5637,23600,Thrikkaipatta(Part),32,3,3,3203000300023600
627339,Muppainad,32,590,5637,23700,Muppainad,32,3,3,3203000300023700
627340,Vellarimala,32,590,5637,23800,Vellarimala,32,3,3,3203000300023800
627341,Onchiam,32,591,5638,24000,Onchiam,32,4,1,3204000100024000
627342,Vanimel,32,591,5638,24700,Vanimel,32,4,1,3204000100024700
627343,Vilangad,32,591,5638,24800,Vilangad,32,4,1,3204000100024800
627344,Thinoor,32,591,5638,24900,Thinoor,32,4,1,3204000100024900
627345,Kavilumpara,32,591,5638,25000,Kavilumpara,32,4,1,3204000100025000
627346,Kayakkodi,32,591,5638,25100,Kayakkodi,32,4,1,3204000100025100
627347,Narippatta,32,591,5638,25200,Narippatta,32,4,1,3204000100025200
627348,Purameri,32,591,5638,25500,Purameri,32,4,1,3204000100025500
627349,Thiruvallur,32,591,5638,25900,Thiruvallur,32,4,1,3204000100025900
627350,Velom,32,591,5638,26000,Velom,32,4,1,3204000100026000
627351,Kuttiadi,32,591,5638,26100,Kuttiadi,32,4,1,3204000100026100
627352,Maruthonkara,32,591,5638,26200,Maruthonkara,32,4,1,3204000100026200
627353,Valayam(CT),32,591,5638,24600,Valayam,32,4,1,3204000100024600
627354,Chekkiad(CT),32,591,5638,24500,Chekkiad,32,4,1,3204000100024500
627355,Thuneri(CT),32,591,5638,24400,Thuneri,32,4,1,3204000100024400
627356,Kunnummal(CT),32,591,5638,25300,Kunnummal,32,4,1,3204000100025300
627357,Nadapuram(CT),32,591,5638,25400,Nadapuram,32,4,1,3204000100025400
627358,Edacheri(CT),32,591,5638,24300,Edacheri,32,4,1,3204000100024300
627359,Eramala(CT),32,591,5638,24200,Eramala,32,4,1,3204000100024200
627360,Azhiyur(CT),32,591,5638,23900,Azhiyur,32,4,1,3204000100023900
627361,Chorode(CT),32,591,5638,24100,Chorode,32,4,1,3204000100024100
627362,Ayancheri(CT),32,591,5638,25600,Ayancheri,32,4,1,3204000100025600
627363,Kottappally(CT),32,591,5638,25700,Kottappally,32,4,1,3204000100025700
627364,Villiappally(CT),32,591,5638,40401000,Villiappally(CT),32,4,1,3204000140401000
627365,Palayad(CT),32,591,5638,40403000,Palayad(CT),32,4,1,3204000140403000
627366,Maniyur(CT),32,591,5638,25800,Maniyur,32,4,1,3204000100025800
627367,Payyoli,32,591,5639,26400,Payyoli,32,4,2,3204000200026400
627368,Cheruvannur,32,591,5639,26700,Cheruvannur,32,4,2,3204000200026700
627369,Palery,32,591,5639,26900,Palery,32,4,2,3204000200026900
627370,Changaroth,32,591,5639,27000,Changaroth,32,4,2,3204000200027000
627371,Chempanoda,32,591,5639,27100,Chempanoda,32,4,2,3204000200027100
627372,Chakkittapara,32,591,5639,27200,Chakkittapara,32,4,2,3204000200027200
627373,Perambra,32,591,5639,27300,Perambra,32,4,2,3204000200027300
627374,Nochad,32,591,5639,27600,Nochad,32,4,2,3204000200027600
627375,Moodadi,32,591,5639,28000,Moodadi,32,4,2,3204000200028000
627376,Arikkulam(Part),32,591,5639,28100,Arikkulam(Part),32,4,2,3204000200028100
627377,Kottur,32,591,5639,28300,Kottur,32,4,2,3204000200028300
627378,Kayanna,32,591,5639,28400,Kayanna,32,4,2,3204000200028400
627379,Koorachundu,32,591,5639,28500,Koorachundu,32,4,2,3204000200028500
627380,Kanthalad,32,591,5639,28600,Kanthalad,32,4,2,3204000200028600
627381,Avitanallur,32,591,5639,28700,Avitanallur,32,4,2,3204000200028700
627382,Chengottukavu,32,591,5639,28900,Chengottukavu,32,4,2,3204000200028900
627383,Kinalur,32,591,5639,29400,Kinalur,32,4,2,3204000200029400
627384,Unnikulam,32,591,5639,29500,Unnikulam,32,4,2,3204000200029500
627385,Sivapuram,32,591,5639,29600,Sivapuram,32,4,2,3204000200029600
627386,Iringal(CT),32,591,5639,26300,Iringal,32,4,2,3204000200026300
627387,Eravattur(CT),32,591,5639,26800,Eravattur,32,4,2,3204000200026800
627388,Koothali(CT),32,591,5639,27400,Koothali,32,4,2,3204000200027400
627389,Menhaniam(CT),32,591,5639,27500,Menhaniam,32,4,2,3204000200027500
627390,Meppayyur(CT),32,591,5639,27700,Meppayyur,32,4,2,3204000200027700
627391,Kozhukkallur(CT),32,591,5639,27800,Kozhukkallur,32,4,2,3204000200027800
627392,Thurayur(CT),32,591,5639,26600,Thurayur,32,4,2,3204000200026600
627393,Thikkody(CT),32,591,5639,26500,Thikkody,32,4,2,3204000200026500
627394,Keezhariyur(CT),32,591,5639,27900,Keezhariyur,32,4,2,3204000200027900
627395,Naduvannur(CT),32,591,5639,28200,Naduvannur,32,4,2,3204000200028200
627396,Panangad(CT),32,591,5639,29300,Panangad,32,4,2,3204000200029300
