MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,HH,eHH29,KARNATAKA,555,Belgaum,5433,Chikodi,597114,Hadnal,383,364
29,KARNATAKA,555,Belgaum,5433,Chikodi,597179,Chandur,1004,857
29,KARNATAKA,555,Belgaum,5433,Chikodi,597180,Chandur - Tek,1279,1272
29,KARNATAKA,555,Belgaum,5433,Chikodi,597181,Yadur,2380,2263
29,KARNATAKA,555,Belgaum,5433,Chikodi,597182,Hosa Yedur,2937,2907
29,KARNATAKA,555,Belgaum,5433,Chikodi,597183,Ingali,2750,2610
29,KARNATAKA,555,Belgaum,5433,Chikodi,597184,Manjari,2586,2497
29,KARNATAKA,555,Belgaum,5433,Chikodi,597185,Manjariwadi,659,534
29,KARNATAKA,555,Belgaum,5433,Chikodi,597186,Ankali,2316,1897
29,KARNATAKA,555,Belgaum,5433,Chikodi,597187,Shiddapurwadi,131,106
29,KARNATAKA,555,Belgaum,5433,Chikodi,597188,Kadapur,1008,916
29,KARNATAKA,555,Belgaum,5433,Chikodi,597189,Jodakurli,762,726
29,KARNATAKA,555,Belgaum,5433,Chikodi,597190,Kerur,4464,4327
29,KARNATAKA,555,Belgaum,5433,Chikodi,597191,Roopanal,347,329
29,KARNATAKA,555,Belgaum,5433,Chikodi,597192,Hirekudi,2351,2248
29,KARNATAKA,555,Belgaum,5433,Chikodi,597193,Chikodi (Rural),111,100
29,KARNATAKA,555,Belgaum,5433,Chikodi,597194,Kuppanawadi,1065,1012
29,KARNATAKA,555,Belgaum,5433,Chikodi,597195,Girgaon,223,172
29,KARNATAKA,555,Belgaum,5433,Chikodi,597196,Shirgaon,1902,1746
29,KARNATAKA,555,Belgaum,5433,Chikodi,597197,Shiragaonwadi,264,214
29,KARNATAKA,555,Belgaum,5433,Chikodi,597198,Khadaklat,2591,2439
29,KARNATAKA,555,Belgaum,5433,Chikodi,597199,Thapakarwadi,257,208
29,KARNATAKA,555,Belgaum,5433,Chikodi,597200,Pangire (A),556,495
29,KARNATAKA,555,Belgaum,5433,Chikodi,597201,Rampur,347,292
29,KARNATAKA,555,Belgaum,5433,Chikodi,597202,Chikalwal,1683,1461
29,KARNATAKA,555,Belgaum,5433,Chikodi,597203,Manuchiwadi,147,119
29,KARNATAKA,555,Belgaum,5433,Chikodi,597204,Sankanwadi,261,212
29,KARNATAKA,555,Belgaum,5433,Chikodi,597205,Navalihal,497,438
29,KARNATAKA,555,Belgaum,5433,Chikodi,597206,Peerawadi,1104,1084
29,KARNATAKA,555,Belgaum,5433,Chikodi,597207,Pattankudi,1912,1604
29,KARNATAKA,555,Belgaum,5433,Chikodi,597208,Walki,766,595
29,KARNATAKA,555,Belgaum,5433,Chikodi,597209,Yadyanawadi,418,339
