"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"North Goa","","","","","187","187","74703","74703","0","100.00"
"South Goa","","","","","132","132","53504","53504","0","100.00"
"Total","0","0","0","0","319","319","1,28,207","1,28,207","0",""
